UNIQUE_ID,YEAR,COUNTRY,REGION,CONTINENT,HAPPINESS_SCORE,HAPPINESS_RANK,HAPPINESS_RANK_DECILE,HAPPINESS_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_SCORE,ECONOMY_GDP_PER_CAPITA_RANK,ECONOMY_GDP_PER_CAPITA_RANK_DECILE,ECONOMY_GDP_PER_CAPITA_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_PCT,FAMILY_SCORE,FAMILY_RANK,FAMILY_RANK_DECILE,FAMILY_RANK_QUARTILE,FAMILY_PCT,HEALTH_LIFE_EXPECTANCY_SCORE,HEALTH_LIFE_EXPECTANCY_RANK,HEALTH_LIFE_EXPECTANCY_RANK_DECILE,HEALTH_LIFE_EXPECTANCY_RANK_QUARTILE,HEALTH_LIFE_EXPECTANCY_PCT,FREEDOM_SCORE,FREEDOM_RANK,FREEDOM_RANK_DECILE,FREEDOM_RANK_QUARTILE,FREEDOM_PCT,GENEROSITY_SCORE,GENEROSITY_RANK,GENEROSITY_RANK_DECILE,GENEROSITY_RANK_QUARTILE,GENEROSITY_PCT,TRUST_GOVERNMENT_CORRUPTION_SCORE,TRUST_GOVERNMENT_CORRUPTION_RANK,TRUST_GOVERNMENT_CORRUPTION_RANK_DECILE,TRUST_GOVERNMENT_CORRUPTION_RANK_QUARTILE,TRUST_GOVERNMENT_CORRUPTION_PCT
Mauritania_2015,2015,Mauritania,"Arab States",Africa,4.436,124,8,4,0.45407,125,8,4,0.19586588624356446,0.86908,115,8,3,0.3748830028686087,0.35874,130,9,4,0.15474470482887437,0.24232,138,9,4,0.10452622190976137,0.219,75,5,2,0.09446699469914678,0.17461,42,3,2,0.07531909839524313
Algeria_2015,2015,Algeria,"Arab States",Africa,5.605,68,5,2,0.93929,75,5,2,0.29603423811981666,1.07772,68,5,2,0.3396629764214392,0.61766,97,7,3,0.19466672262235718,0.28579,128,9,4,0.09007188941151771,0.07822,147,10,4,0.02465244931883465,0.17383,43,3,2,0.054785671170348334
Haiti_2015,2015,Haiti,"South/Latin America","North America",4.518,119,8,3,0.26673,141,9,4,0.11717853892522642,0.74302,133,9,4,0.32641995402084073,0.38847,125,8,4,0.1706607600481347,0.24425,137,9,4,0.10730272916025346,0.46187,10,1,1,0.20290650230445686,0.17175,44,3,2,0.07545237724654824
Azerbaijan_2015,2015,Azerbaijan,"Asia & Pacific",Europe,5.212,80,5,3,1.02389,62,4,2,0.31884272095966437,0.93793,102,7,3,0.292074484584724,0.64045,93,6,3,0.19943823770094413,0.3703,104,7,3,0.11531263693438627,0.07799,148,10,4,0.024286343546185394,0.16065,45,3,2,0.05002693862711245
"United States_2015",2015,"United States","North America","North America",7.119,15,1,1,1.39451,9,1,1,0.30256960214237316,1.24711,30,2,1,0.270587927651866,0.86179,32,2,1,0.1869842827247264,0.54604,41,3,2,0.11847537950014811,0.40105,18,2,1,0.08701661277591957,0.1589,46,3,2,0.03447684599820207
Turkey_2015,2015,Turkey,Europe,Asia,5.332,76,5,2,1.06098,55,4,2,0.3267851910707585,0.94632,101,7,3,0.2914695584359508,0.73172,63,4,2,0.22537207008803964,0.22815,142,9,4,0.07027092162203245,0.12253,129,9,4,0.03773962786014996,0.15746,47,3,2,0.048498180313459
Niger_2015,2015,Niger,Africa,Africa,3.845,144,10,4,0.0694,154,10,4,0.03529597064569136,0.77265,129,9,4,0.3929601266114031,0.29707,138,9,4,0.15108608419835343,0.47692,64,4,2,0.24255555057729408,0.19387,91,6,3,0.09859985335213863,0.15639,48,3,2,0.07953799588006087
Mozambique_2015,2015,Mozambique,Africa,Africa,4.971,94,6,3,0.08308,151,10,4,0.04327916768562629,1.02626,80,5,3,0.5346133701827221,0.09131,152,10,4,0.0475664519513289,0.34037,112,7,3,0.1773101838126573,0.22269,73,5,2,0.1160067135829005,0.15603,49,4,2,0.08128127595397287
Bhutan_2015,2015,Bhutan,"Asia & Pacific",Asia,5.253,79,5,2,0.77042,95,6,3,0.21311404836334946,1.10395,62,4,2,0.3053753202068542,0.57407,108,7,3,0.1587995826193947,0.53206,47,3,2,0.14717876504448313,0.47998,6,1,1,0.13277235434852308,0.15445,50,4,2,0.04272405180634703
Estonia_2015,2015,Estonia,Europe,Europe,5.429,73,5,2,1.15174,42,3,2,0.2998401534447482,1.22791,36,3,1,0.3196700207981143,0.77361,50,4,2,0.20139905615242581,0.44888,75,5,2,0.11685992450162858,0.0868,144,10,4,0.022597224030846852,0.15184,51,4,2,0.0395295214919227
